2026	 Hudson FD Alert3
2027	 Hudson FD Alert2
2030	 PVFD St37 Alert
2031	 PVFD St37 Alert
2032	 LaSalle FD Alert
2035	 PGFPD Sta 36
2036	 Station 39 Alert
2037	 3921 Alert
2038	 3960 Alert
2039	 Windsor FD Alrt1
2040	 Windsor FD Alrt2
2041	 Windsor FD Alrt3
2042	 Briggsdale FD Al
2043	 3960 Alert
2044	 F-F FPD Chief
2045	 F-F FPD Cmnd3460
2046	 PVFD St37 Alert
2053	 Nunn FD Alert
4121	 Thornton FD OpsC
4122	 AdamsCo TecSv
4123	 AdamsCo Jail 1
4124	 AdamsCo Court
4125	 AdamsCo Maint
4126	 ComCty Spc Evt 1
4129	 Thornton FD OpsB
4131	 Adams D14 Bus
4132	 Adams D14 Sec
4133	 Thornton Roads
4134	 Thornton Waste
4135	 Thornton Parks
4136	 Thornton NeigSrv
4137	 AdamsD12 Sec
4138	 AdamsD12 BusShop
4139	 AdamsD12 Mtce
4140	 AdamsD12 Schools
4141	 AdamsD12 Buses
4142	 Mapleton Fleet
4143	 Mapleton Bus
4144	 AdamsD12 Schools
4145	 ComCty PD Sp Ops
4146	 AdamsCo FD Emerg
4148	 ComCty Spc Evt 2
4152	 AdamsCo FD MAC 1
4153	 AdamsCo FD MAC 2
4154	 AdamsCo FD MAC 3
4155	 AdamsCo FD MAC 4
4156	 AdamsCo FD MAC
4157	 AdamsCo FD MAC
4164	 AdamsCo LE MAC 1
4165	 AdamsCo LE MAC 2
4166	 AdamsCo LE MAC 3
4167	 AdamsCo LE MAC 4
4168	 AdamsCo Jail 2
4170	 AdamsCo JailXprt
4171	 Brighton FD B
4172	 Brighton FD C
4177	 Thornton PD Trfc
4178	 Westminster PD 1
4179	 Westminster PD 2
4181	 Adams SO ShawHts
9000	 FtLupton FD Admn
9001	 Greeley FD 1
9002	 Evans FD 2422
9003	 LaSalle FD Alert
9011	 Tri Area EMS
9012	 WeldCo R&B 3
9013	 WeldCo R&B 4
9014	 WeldCo R&B 5
9015	 WeldCo R&B 6
9016	 WeldCo R&B 7
9017	 WeldCo R&B 8
9018	 WeldCo PW 2
9019	 WeldCo PW 1
9024	 FtStVrain Power1
9025	 FtStVrain Power2
9026	 Banner FtCollins
9027	 NC MedCenter
9028	 Banner Loveland
9029	 Plattvle PD Admn
9035	 WeldCo Court Sec
9037	 UNC Prk Enfrcmt
9056	 Rampart SAR
9113	 MtnView Fire 1
9114	 MtnView Fire 2
9540	 MtnView Fire 3
9541	 MtnView Fire 4
9557	 MtnView Fire 5
9558	 MtnView Fire 6
9559	 MtnView Fire 7
9560	 MtnView Fire 8
